mission_id,solve,t_rel_s,gt_frame,dt_to_frame_s,n_animals,d_min_m,omega_ceiling,omega_realised,v_ceiling_left_flank,v_ceiling_dorsal,v_ceiling_right_flank,v_realised_left_flank,v_realised_dorsal,v_realised_right_flank,rep,seed
F1,0,163.49,2,1.69,4,60.0,0.639449,0.0,1.0,1.0,1.0,0.2656,0.625,0.25,0,0
F1,1,172.49,3,0.72,4,60.0,0.596289,1e-06,0.8438,1.0,0.8906,0.5312,0.9688,0.25,0,0
F1,2,180.0,4,1.4,4,60.0,0.612863,1e-06,0.8906,1.0,0.875,0.4688,0.9062,0.25,0,0
F1,3,186.0,5,3.44,4,60.0,0.571681,0.0,0.8281,1.0,0.8438,0.2969,0.5938,0.25,0,0
F1,4,194.49,6,3.12,4,60.0,0.600115,0.001195,0.9062,1.0,0.9375,0.3906,1.0,0.25,0,0
F1,5,204.49,7,1.12,4,60.0,0.566118,0.042612,0.875,1.0,0.9062,0.5312,1.0,0.25,0,0
F1,6,214.49,8,-0.68,4,60.0,0.592535,0.340938,0.8906,1.0,0.9531,0.5625,1.0,0.875,0,0
F1,7,221.49,9,0.5,4,60.0,0.605272,0.365422,0.8906,1.0,0.9375,0.7969,1.0,0.8906,0,0
F1,8,227.49,10,2.51,4,60.0,0.562149,0.282686,0.9219,1.0,0.9062,0.7969,1.0,0.8438,0,0
F1,9,235.49,11,2.72,4,60.0,0.575329,0.275584,0.8438,1.0,0.875,0.6094,1.0,0.9531,0,0
F1,10,241.99,11,-3.78,4,60.0,0.57573,0.282797,0.8438,1.0,0.875,0.75,1.0,0.9531,0,0
F1,11,247.49,12,-1.1,4,60.0,0.563343,0.296567,0.7969,1.0,0.8594,0.75,1.0,0.8281,0,0
F1,12,253.49,13,1.1,4,60.0,0.568749,0.264012,0.8281,1.0,0.8438,0.5,1.0,1.0,0,0
F1,13,259.99,14,2.8,4,60.0,0.510396,0.3034,0.8438,1.0,0.8438,0.6562,1.0,0.9688,0,0
F1,14,267.49,15,3.5,4,60.0,0.484189,0.351799,0.8438,1.0,0.8281,0.75,1.0,0.9688,0,0
F1,15,275.49,16,3.51,4,60.0,0.44942,0.425973,0.5625,1.0,0.8594,0.9531,1.0,0.9688,0,0
F1,16,282.49,16,-3.49,4,60.0,0.461647,0.426807,0.5625,1.0,0.9062,0.9531,1.0,0.9688,0,0
F1,17,288.49,17,-1.31,4,60.0,0.450174,0.437722,0.8906,1.0,0.6406,0.6406,1.0,0.9531,0,0
F1,18,294.49,18,0.69,4,60.0,0.571613,0.3662,0.8438,1.0,0.875,0.7031,1.0,0.75,0,0
F1,19,300.49,19,2.9,4,60.0,0.577611,0.410609,0.8906,1.0,0.9062,0.9531,1.0,1.0,0,0
F1,20,306.49,19,-3.1,4,60.0,0.578384,0.410029,0.8906,1.0,0.9062,0.9531,1.0,1.0,0,0
F1,21,312.49,20,-0.91,4,60.0,0.586381,0.351973,0.9062,1.0,0.9062,0.7031,1.0,1.0,0,0
F1,22,318.49,21,1.29,4,60.0,0.533479,0.332721,0.8281,1.0,0.7969,0.9531,1.0,1.0,0,0
F1,23,324.49,22,3.3,4,60.0,0.542233,0.329094,0.8438,1.0,0.8125,0.75,1.0,0.5,0,0
F1,24,330.49,22,-2.7,4,60.0,0.550723,0.332736,0.8438,1.0,0.875,1.0,1.0,0.5,0,0
F1,25,338.0,23,-2.21,4,60.0,0.540793,0.309838,0.8125,1.0,0.8125,0.75,1.0,1.0,0,0
F1,26,344.49,24,-0.7,4,60.0,0.544432,0.290027,0.8125,1.0,0.8281,0.9531,1.0,0.5,0,0
F1,27,351.99,25,-0.0,4,60.0,0.548309,0.284483,0.8125,1.0,0.8281,0.75,1.0,0.5,0,0
F1,28,359.99,26,0.01,4,60.0,0.549859,0.284493,0.8125,1.0,0.8438,0.75,1.0,0.75,0,0
F1,29,367.0,27,1.19,4,60.0,0.497469,0.365056,0.8906,1.0,0.9062,1.0,1.0,0.9531,0,0
F1,30,374.0,28,2.39,4,60.0,0.428811,0.342737,0.8281,1.0,0.7969,1.0,1.0,1.0,0,0
F1,31,381.49,29,2.92,4,60.0,0.477376,0.365755,0.6406,1.0,0.9062,1.0,1.0,1.0,0,0
F1,32,388.49,29,-4.09,4,60.0,0.481819,0.329175,0.8906,1.0,0.9062,1.0,1.0,0.9531,0,0
F1,33,396.49,30,-3.88,4,60.0,0.458386,0.331803,0.8281,1.0,0.8438,1.0,1.0,0.75,0,0
F1,34,403.49,31,-2.69,4,60.0,0.517873,0.256316,0.8125,1.0,0.8281,0.6406,1.0,0.5,0,0
F1,35,410.49,32,-1.5,4,60.0,0.509674,0.291068,0.8125,1.0,0.8438,0.8281,1.0,0.6562,0,0
F1,36,418.99,33,-2.0,4,60.0,0.496218,0.209509,0.75,1.0,0.8125,0.6094,1.0,0.5,0,0
F1,37,425.49,34,-0.31,4,60.0,0.49839,0.255796,0.75,1.0,0.8594,0.6094,1.0,0.75,0,0
F1,38,431.99,35,1.39,4,60.0,0.49231,0.263177,0.7812,1.0,0.7969,0.9375,1.0,0.5,0,0
F1,39,437.99,36,3.41,4,60.0,0.523678,0.236145,0.8281,1.0,0.8906,0.75,1.0,0.5,0,0
F1,40,444.99,36,-3.59,4,60.0,0.533506,0.253242,0.875,1.0,0.8906,1.0,1.0,0.5,0,0
F1,41,452.0,37,-2.41,4,60.0,0.514246,0.254965,0.8125,1.0,0.8438,1.0,1.0,0.5,0,0
F1,42,459.0,38,-1.21,4,60.0,0.507254,0.272673,0.8281,1.0,0.8594,0.75,1.0,0.6875,0,0
F1,43,464.99,39,0.79,4,60.0,0.478158,0.318788,0.8125,1.0,0.8125,0.9062,1.0,0.6875,0,0
F1,44,470.49,40,3.5,4,60.0,0.526654,0.243712,0.8594,1.0,0.8594,1.0,1.0,0.75,0,0
F1,45,476.99,40,-3.0,4,60.0,0.526676,0.245436,0.8594,1.0,0.8594,1.0,1.0,0.75,0,0
F1,46,483.0,41,-0.81,4,60.0,0.513634,0.235503,0.8281,1.0,0.8594,1.0,1.0,0.5,0,0
F1,47,488.99,42,1.39,4,60.0,0.507523,0.273256,0.8281,1.0,0.8438,1.0,1.0,0.5,0,0
F1,48,494.99,43,3.4,4,60.0,0.507835,0.319575,0.8906,1.0,0.8906,1.0,1.0,0.75,0,0
F1,49,501.49,43,-3.1,4,60.0,0.507835,0.32025,0.8906,1.0,0.8906,1.0,1.0,0.75,0,0
F1,50,507.49,44,-0.86,4,60.0,0.522245,0.261043,0.8438,1.0,0.9219,1.0,1.0,1.0,0,0
F1,51,514.49,45,0.3,4,60.0,0.541929,0.271191,0.9062,1.0,0.9531,1.0,1.0,0.75,0,0
F1,52,520.99,46,1.8,4,60.0,0.533004,0.258819,0.9062,1.0,0.9219,1.0,1.0,0.5,0,0
F1,53,527.99,47,2.82,4,60.0,0.548244,0.273736,0.9062,1.0,0.9375,0.8594,1.0,0.7031,0,0
F1,0,163.49,2,1.69,4,60.0,0.636997,0.0,1.0,1.0,1.0,0.2656,0.625,0.25,1,1
F1,1,172.49,3,0.72,4,60.0,0.593003,1e-06,0.875,1.0,0.8438,0.5312,0.9688,0.25,1,1
F1,2,180.0,4,1.4,4,60.0,0.609687,1e-06,0.9219,1.0,0.8438,0.4688,0.9062,0.25,1,1
F1,3,186.0,5,3.44,4,60.0,0.559921,0.0,0.8906,1.0,0.75,0.2969,0.5938,0.25,1,1
F1,4,194.49,6,3.12,4,60.0,0.587659,0.001195,0.9531,1.0,0.8594,0.3906,1.0,0.25,1,1
F1,5,204.49,7,1.12,4,60.0,0.560785,0.042612,0.9531,1.0,0.8125,0.5312,1.0,0.25,1,1
F1,6,214.49,8,-0.68,4,60.0,0.584616,0.340938,0.9531,1.0,0.8594,0.5625,1.0,0.875,1,1
F1,7,221.49,9,0.5,4,60.0,0.594457,0.365422,0.9531,1.0,0.8281,0.7969,1.0,0.8906,1,1
F1,8,227.49,10,2.51,4,60.0,0.552684,0.282686,0.9688,1.0,0.8281,0.7969,1.0,0.8438,1,1
F1,9,235.49,11,2.72,4,60.0,0.575067,0.275584,0.9062,1.0,0.8125,0.6094,1.0,0.9531,1,1
F1,10,241.99,11,-3.78,4,60.0,0.575309,0.282797,0.9062,1.0,0.8125,0.75,1.0,0.9531,1,1
F1,11,247.49,12,-1.1,4,60.0,0.564708,0.296567,0.8906,1.0,0.7969,0.75,1.0,0.8281,1,1
F1,12,253.49,13,1.1,4,60.0,0.574039,0.264012,0.8594,1.0,0.8281,0.5,1.0,1.0,1,1
F1,13,259.99,14,2.8,4,60.0,0.508501,0.3034,0.9062,1.0,0.7812,0.6562,1.0,0.9688,1,1
F1,14,267.49,15,3.5,4,60.0,0.466193,0.351799,0.8594,1.0,0.7812,0.75,1.0,0.9688,1,1
F1,15,275.49,16,3.51,4,60.0,0.45331,0.425973,0.6406,1.0,0.8594,0.9531,1.0,0.9688,1,1
F1,16,282.49,16,-3.49,4,60.0,0.473567,0.426807,0.6406,1.0,0.9062,0.9531,1.0,0.9688,1,1
F1,17,288.49,17,-1.31,4,60.0,0.449829,0.437722,0.6719,1.0,0.875,0.6406,1.0,0.9531,1,1
F1,18,294.49,18,0.69,4,60.0,0.476106,0.3662,0.75,1.0,0.8438,0.7031,1.0,0.75,1,1
F1,19,300.49,19,2.9,4,60.0,0.471714,0.410609,0.6406,1.0,0.8906,0.9531,1.0,1.0,1,1
F1,20,306.49,19,-3.1,4,60.0,0.471807,0.410029,0.6406,1.0,0.8906,0.9531,1.0,1.0,1,1
F1,21,312.49,20,-0.91,4,60.0,0.486371,0.351973,0.625,1.0,0.9062,0.7031,1.0,1.0,1,1
F1,22,318.49,21,1.29,4,60.0,0.455591,0.332721,0.5938,1.0,0.7812,0.9531,1.0,1.0,1,1
F1,23,324.49,22,3.3,4,60.0,0.460038,0.329094,0.75,1.0,0.8438,0.75,1.0,0.5,1,1
F1,24,330.49,22,-2.7,4,60.0,0.461618,0.332736,0.75,1.0,0.8438,1.0,1.0,0.5,1,1
F1,25,338.0,23,-2.21,4,60.0,0.494616,0.309838,0.7656,1.0,0.8125,0.75,1.0,1.0,1,1
F1,26,344.49,24,-0.7,4,60.0,0.537993,0.290027,0.8281,1.0,0.8125,0.9531,1.0,0.5,1,1
F1,27,351.99,25,-0.0,4,60.0,0.544959,0.284483,0.8281,1.0,0.8125,0.75,1.0,0.5,1,1
F1,28,359.99,26,0.01,4,60.0,0.543126,0.284493,0.8281,1.0,0.8125,0.75,1.0,0.75,1,1
F1,29,367.0,27,1.19,4,60.0,0.495282,0.365056,0.9062,1.0,0.8906,1.0,1.0,0.9531,1,1
F1,30,374.0,28,2.39,4,60.0,0.422626,0.342737,0.8438,1.0,0.7812,1.0,1.0,1.0,1,1
F1,31,381.49,29,2.92,4,60.0,0.46529,0.365755,0.8906,1.0,0.875,1.0,1.0,1.0,1,1
F1,32,388.49,29,-4.09,4,60.0,0.465319,0.329175,0.8906,1.0,0.875,1.0,1.0,0.9531,1,1
F1,33,396.49,30,-3.88,4,60.0,0.448612,0.331803,0.8281,1.0,0.8281,1.0,1.0,0.75,1,1
F1,34,403.49,31,-2.69,4,60.0,0.512079,0.256316,0.8281,1.0,0.8125,0.6406,1.0,0.5,1,1
F1,35,410.49,32,-1.5,4,60.0,0.500359,0.291068,0.8281,1.0,0.8125,0.8281,1.0,0.6562,1,1
F1,36,418.99,33,-2.0,4,60.0,0.490057,0.209509,0.8125,1.0,0.75,0.6094,1.0,0.5,1,1
F1,37,425.49,34,-0.31,4,60.0,0.487433,0.255796,0.8438,1.0,0.75,0.6094,1.0,0.75,1,1
F1,38,431.99,35,1.39,4,60.0,0.48102,0.263177,0.7969,1.0,0.7812,0.9375,1.0,0.5,1,1
F1,39,437.99,36,3.41,4,60.0,0.518255,0.236145,0.8438,1.0,0.875,0.75,1.0,0.5,1,1
F1,40,444.99,36,-3.59,4,60.0,0.530402,0.253242,0.8906,1.0,0.8906,1.0,1.0,0.5,1,1
F1,41,452.0,37,-2.41,4,60.0,0.509043,0.254965,0.8281,1.0,0.8281,1.0,1.0,0.5,1,1
F1,42,459.0,38,-1.21,4,60.0,0.504429,0.272673,0.8594,1.0,0.8438,0.75,1.0,0.6875,1,1
F1,43,464.99,39,0.79,4,60.0,0.472107,0.318788,0.8125,1.0,0.8125,0.9062,1.0,0.6875,1,1
F1,44,470.49,40,3.5,4,60.0,0.520506,0.243712,0.8594,1.0,0.8594,1.0,1.0,0.75,1,1
F1,45,476.99,40,-3.0,4,60.0,0.520507,0.245436,0.8594,1.0,0.8594,1.0,1.0,0.75,1,1
F1,46,483.0,41,-0.81,4,60.0,0.51353,0.235503,0.8594,1.0,0.8438,1.0,1.0,0.5,1,1
F1,47,488.99,42,1.39,4,60.0,0.503246,0.273256,0.8438,1.0,0.8281,1.0,1.0,0.5,1,1
F1,48,494.99,43,3.4,4,60.0,0.499403,0.319575,0.8906,1.0,0.8906,1.0,1.0,0.75,1,1
F1,49,501.49,43,-3.1,4,60.0,0.499695,0.32025,0.8906,1.0,0.8906,1.0,1.0,0.75,1,1
F1,50,507.49,44,-0.86,4,60.0,0.525751,0.261043,0.875,1.0,0.9062,1.0,1.0,1.0,1,1
F1,51,514.49,45,0.3,4,60.0,0.533132,0.271191,0.9375,1.0,0.9062,1.0,1.0,0.75,1,1
F1,52,520.99,46,1.8,4,60.0,0.528146,0.258819,0.9219,1.0,0.9062,1.0,1.0,0.5,1,1
F1,53,527.99,47,2.82,4,60.0,0.533511,0.273736,0.9375,1.0,0.9062,0.8594,1.0,0.7031,1,1
F1,0,163.49,2,1.69,4,60.0,0.639099,0.0,1.0,1.0,1.0,0.2656,0.625,0.25,2,2
F1,1,172.49,3,0.72,4,60.0,0.596452,1e-06,0.8438,1.0,0.8906,0.5312,0.9688,0.25,2,2
F1,2,180.0,4,1.4,4,60.0,0.613098,1e-06,0.8906,1.0,0.875,0.4688,0.9062,0.25,2,2
F1,3,186.0,5,3.44,4,60.0,0.572304,0.0,0.8281,1.0,0.8438,0.2969,0.5938,0.25,2,2
F1,4,194.49,6,3.12,4,60.0,0.60147,0.001195,0.9062,1.0,0.9531,0.3906,1.0,0.25,2,2
